Agent,Cond,Qnum,Mean_CR
Human,2C,1,1
Human,2C,2,0.5172413793103449
Human,2C,3,0.9770114942528736
Human,2C,4,0.7471264367816092
Human,2C,5,0.5517241379310345
Human,2C,6,0.9080459770114943
Human,2C,7,0.9770114942528736
Human,2C,8,0.5287356321839081
Human,2C,9,0.5632183908045977
Human,2C,10,0.735632183908046
Human,2C,11,1
Human,2C,12,0.9080459770114943
Human,2C,13,0.7586206896551724
Human,2C,14,0.6781609195402298
Human,2C,15,0.5862068965517241
Human,2C,16,0.5057471264367817
Human,2C,17,0.7126436781609196
Human,2C,18,0.6781609195402298
Human,2C,19,0.5172413793103449
Human,2C,20,0.7586206896551724
Human,4C,1,0.9885057471264368
Human,4C,2,0.8045977011494253
Human,4C,3,0.6666666666666666
Human,4C,4,0.7586206896551724
Human,4C,5,0.7241379310344828
Human,4C,6,0.9770114942528736
Human,4C,7,0.9425287356321839
Human,4C,8,0.5977011494252874
Human,4C,9,0.47126436781609193
Human,4C,10,0.8390804597701149
Human,4C,11,1
Human,4C,12,0.9080459770114943
Human,4C,13,0.6781609195402298
Human,4C,14,0.896551724137931
Human,4C,15,0.7701149425287356
Human,4C,16,0.28735632183908044
Human,4C,17,0.1724137931034483
Human,4C,18,0.7471264367816092
Human,4C,19,0.7586206896551724
Human,4C,20,0.6436781609195402
Human,OP,1,0.9655172413793104
Human,OP,2,0.7126436781609196
Human,OP,3,0.20689655172413793
Human,OP,4,0.6206896551724138
Human,OP,5,0.6091954022988506
Human,OP,6,0.9425287356321839
Human,OP,7,0.9540229885057471
Human,OP,8,0.20689655172413793
Human,OP,9,0.27586206896551724
Human,OP,10,0.7471264367816092
Human,OP,11,0.7701149425287356
Human,OP,12,0.5862068965517241
Human,OP,13,0.6091954022988506
Human,OP,14,0.7241379310344828
Human,OP,15,0.3793103448275862
Human,OP,16,0.26436781609195403
Human,OP,17,0.04597701149425287
Human,OP,18,0.3218390804597701
Human,OP,19,0.3333333333333333
Human,OP,20,0.06896551724137931
GPT,2C,1,1
GPT,2C,2,1
GPT,2C,3,1
GPT,2C,4,1
GPT,2C,5,1
GPT,2C,6,1
GPT,2C,7,1
GPT,2C,8,1
GPT,2C,9,1
GPT,2C,10,0.9425287356321839
GPT,2C,11,1
GPT,2C,12,0.9885057471264368
GPT,2C,13,1
GPT,2C,14,0.21839080459770116
GPT,2C,15,1
GPT,2C,16,0.3103448275862069
GPT,2C,17,1
GPT,2C,18,1
GPT,2C,19,0.022988505747126436
GPT,2C,20,1
GPT,4C,1,1
GPT,4C,2,1
GPT,4C,3,1
GPT,4C,4,1
GPT,4C,5,1
GPT,4C,6,1
GPT,4C,7,1
GPT,4C,8,1
GPT,4C,9,0.011494252873563218
GPT,4C,10,1
GPT,4C,11,1
GPT,4C,12,0.5172413793103449
GPT,4C,13,1
GPT,4C,14,1
GPT,4C,15,1
GPT,4C,16,1
GPT,4C,17,1
GPT,4C,18,0.9885057471264368
GPT,4C,19,1
GPT,4C,20,0
GPT,OP,1,0.9770114942528736
GPT,OP,2,1
GPT,OP,3,0.7586206896551724
GPT,OP,4,0.9770114942528736
GPT,OP,5,1
GPT,OP,6,1
GPT,OP,7,1
GPT,OP,8,1
GPT,OP,9,1
GPT,OP,10,0.9885057471264368
GPT,OP,11,1
GPT,OP,12,1
GPT,OP,13,0
GPT,OP,14,0.25287356321839083
GPT,OP,15,0.9885057471264368
GPT,OP,16,0.9770114942528736
GPT,OP,17,0.9885057471264368
GPT,OP,18,0.3793103448275862
GPT,OP,19,0.034482758620689655
GPT,OP,20,0.3103448275862069
